"id","event_id","tick","blob_id","score"
1,12,0,6,1.002165804567775
2,12,1,2,1.4468579159948627
3,12,2,3,0.5127228538899189
4,12,3,9,0.8125611628156757
5,12,4,7,0.10899404072292464
6,12,5,1,0.9007013510312226
7,12,6,8,1.3268336289248652
8,12,7,4,0.7351932820454287
9,12,8,5,1.7811399868466706
10,12,9,5,0.12915796010707076
11,12,10,2,1.274105256999784
12,12,11,8,0.9741221626199154
13,12,12,6,0.33449750050450944
14,12,13,1,0.04279039624178815
15,12,14,9,0.8497363311537404
16,12,15,4,1.1446957045005568
17,12,16,2,0.3626441526943075
18,12,17,4,0.4002844480210159
19,12,18,8,1.3079511307434
20,12,19,9,0.9212558660963276
21,12,20,6,1.3043587089788116
22,12,21,8,1.3913507350233967
23,12,22,6,1.8878846234360642
24,12,23,9,0.3528983517007876
25,13,0,4,0.782392163816787
26,13,1,9,0.5442814502278482
27,13,2,6,2.174363312832637
28,13,3,1,2.5118436023651416
29,13,4,2,0.6724051797699623
30,13,5,5,0.4132810563695034
31,13,6,7,1.2967383933209526
32,13,7,3,2.001985087140211
33,13,8,8,0.5799633893381972
34,13,9,1,0.018737970288352637
35,13,10,6,1.024276579513783
36,13,11,3,0.22137840493345637
37,13,12,7,1.2823197352847737
38,13,13,4,1.0904305298987051
39,13,14,2,2.1309939192287284
40,13,15,8,1.2922542803785362
41,13,16,9,0.37943129208813176
42,13,17,5,2.2540502931683912
43,13,18,1,1.9367533637965746
44,13,19,5,0.46813322030419535
45,13,20,6,1.6473555718498314
46,13,21,2,1.0382049893632714
47,13,22,3,1.7583725372473924
48,13,23,7,0.6449774081373091
49,13,24,8,0.4745803726107409
50,13,25,1,1.6830454046664833
51,13,26,3,1.3783613378104271
52,13,27,6,0.8158595710177037
53,13,28,2,0.4242059565446894
54,13,29,7,0.6940638931554597
55,13,30,8,0.3578039847115686
56,13,31,5,0.041266340969307834
57,13,32,1,2.604441916053731
58,13,33,3,0.8564028794089404
59,13,34,6,0.7858118884870262
60,13,35,2,1.956151658087452
61,13,36,7,1.425234707743902
62,13,37,1,2.0735274165133495
63,13,38,2,1.8490182382800053
64,13,39,7,0.7547815809533288
65,13,40,3,2.9067298617983077
66,13,41,6,1.0310268251560266
67,13,42,3,2.789291737536149
68,13,43,1,1.2883778482463115
69,13,44,2,1.9137069902952153
70,13,45,3,1.9346321523916588
71,13,46,2,0.11305129588446577
72,13,47,1,1.0086840642521995
73,14,0,4,1.6442596222255683
74,14,1,9,0.20280185387448418
75,14,2,3,0.5570598033713402
76,14,3,1,1.5642825605733477
77,14,4,6,1.7583227781429018
78,14,5,2,0.7289167814103995
79,14,6,5,0.38602045352421666
80,14,7,8,0.2246079426736387
81,14,8,7,0.2818453156925569
82,14,9,6,0.531827306498072
83,14,10,4,1.7798682788737603
84,14,11,1,0.3842278561610046
85,14,12,2,0.06728318098630251
86,14,13,3,0.7835483193496443
87,14,14,5,2.291326486086381
88,14,15,7,1.4739423666519886
89,14,16,5,0.912134789168899
90,14,17,4,1.4221653159227279
91,14,18,7,0.08289492327931648
92,14,19,3,0.8556952229286342
93,14,20,6,0.7040408937293416
94,14,21,4,1.7180353841219382
95,14,22,5,1.579318071126816
96,14,23,3,2.5845564090268334
97,15,0,9,1.3302284993533304
98,15,1,2,0.932746752613778
99,15,2,5,1.1526133035206614
100,15,3,4,0.8948969077306365
101,15,4,7,0.022782979569341943
102,15,5,3,0.7445794876883701
103,15,6,6,1.471126543796912
104,15,7,1,1.7111124448896764
105,15,8,8,0.059829362046021385
106,15,9,1,2.3518766778546505
107,15,10,6,0.08139856538208641
108,15,11,9,0.043246112355587195
109,15,12,5,2.182654266764752
110,15,13,2,1.2553279885771473
111,15,14,4,0.6595666710936847
112,15,15,3,0.3129460126305211
113,15,16,8,0.870510885359978
114,15,17,7,0.45242762347301646
115,15,18,1,2.0858797726182283
116,15,19,5,0.5897106244760031
117,15,20,6,1.3946217310234357
118,15,21,9,0.07447260437153955
119,15,22,2,1.251545200508827
120,15,23,4,0.9920263739809266
121,15,24,8,1.3964210896668832
122,15,25,1,0.7765304427831091
123,15,26,8,0.28555300865845357
124,15,27,6,1.9698006392147118
125,15,28,2,1.1728114364476492
126,15,29,4,1.4693381503585028
127,15,30,5,2.47515708807312
128,15,31,9,0.2550026739772604
129,15,32,5,2.474477994258635
130,15,33,1,1.3283589863080598
131,15,34,6,0.8207522887461945
132,15,35,4,1.7760171022764866
133,15,36,8,1.2680323101756708
134,15,37,5,0.5345193480666337
135,15,38,4,0.5089454026755386
136,15,39,1,0.18492346883634497
137,15,40,8,0.5738455877455952
138,15,41,6,1.5276861558018413
139,15,42,5,0.5448236999440755
140,15,43,4,1.8154634929984792
141,15,44,6,0.776789655655257
142,15,45,4,0.1268061890953229
143,15,46,6,2.0036270459717738
144,15,47,5,0.783338446143593
145,16,0,1,2.4544357701366035
146,16,1,4,1.8533801361695124
147,16,2,5,2.1667204165692784
148,16,3,8,0.7679836237532475
149,16,4,2,2.0381228985368907
150,16,5,3,0.2506256359059412
151,16,6,9,0.9096082089600669
152,16,7,7,0.8930649824310775
153,16,8,6,2.3183921303973696
154,16,9,1,2.987266424958025
155,16,10,6,0.2302543717037981
156,16,11,5,0.9595014968438809
157,16,12,2,2.150184147960285
